user,time,pattern
3105,M,"(17, 59)"
3105,M,"(20, 64)"
3105,M,"(20, 60)"
3105,M,"(20, 51)"
3105,M,"(13, 63)"
3105,M,"(19, 34)"
3105,M,"(20, 65)"
3105,M,"(17, 61)"
3105,M,"(30, 31)"
3105,M,"(20, 61)"
3105,M,"(20, 65)"
3105,M,"(41, 45)"
3105,A,"(21, 61)"
3105,A,"(38, 64)"
3105,A,"(9, 60)"
3105,A,"(19, 59)"
3105,A,"(2, 38)"
3105,A,"(12, 50)"
3105,A,"(21, 64)"
3105,A,"(19, 65)"
3105,A,"(16, 64)"
3105,A,"(16, 18)"
3105,A,"(3, 24)"
3105,A,"(17, 63)"
3105,A,"(18, 64)"
3105,A,"(14, 34)"
3105,A,"(17, 64)"
3105,A,"(19, 65)"
3105,A,"(24, 64)"
3105,A,"(18, 57)"
3105,A,"(30, 37)"
3105,A,"(15, 66)"
3105,A,"(19, 63)"
3105,A,"(20, 64)"
3105,A,"(19, 63)"
3105,A,"(55, 32)"
3105,A,"(16, 64)"
3105,A,"(20, 64)"
3105,A,"(28, 57)"
3105,A,"(12, 62)"
3105,A,"(21, 42)"
3105,A,"(23, 65)"
3105,A,"(15, 64)"
3105,A,"(20, 51)"
3105,A,"(18, 12)"
3105,E,"(2, 48)"
3105,E,"(5, 51)"
3105,E,"(19, 64)"
3910,M,"(29, 20)"
3910,M,"(12, 15)"
3910,M,"(13, 25)"
3910,M,"(7, 14)"
3910,M,"(34, 25)"
3910,M,"(2, 13)"
3910,M,"(10, 18)"
3910,M,"(5, 13)"
3910,M,"(10, 10)"
3910,M,"(5, 13)"
3910,M,"(27, 43)"
3910,M,"(25, 29)"
3910,M,"(8, 17)"
3910,M,"(10, 29)"
3910,M,"(6, 14)"
3910,M,"(6, 13)"
3910,M,"(9, 21)"
3910,M,"(5, 11)"
3910,M,"(7, 13)"
3910,A,"(24, 23)"
3910,A,"(11, 21)"
3910,A,"(6, 15)"
3910,A,"(6, 10)"
3910,A,"(3, 21)"
3910,A,"(5, 15)"
3910,A,"(6, 14)"
3910,A,"(16, 1)"
3910,A,"(6, 14)"
3910,A,"(9, 12)"
3910,A,"(13, 15)"
3910,A,"(10, 15)"
3910,A,"(35, 5)"
1680,M,"(52, 2)"
1680,M,"(57, 0)"
1680,M,"(51, 3)"
1680,M,"(52, 1)"
1680,M,"(52, 3)"
1680,M,"(62, 3)"
1680,M,"(62, 16)"
1680,M,"(49, 13)"
1680,M,"(50, 2)"
1680,M,"(54, 4)"
1680,M,"(56, 2)"
1680,M,"(3, 11)"
1680,M,"(54, 1)"
